a	?:en
aristocratic	?:aristocratique
aristotle	?:Aristote
arithmetic	?:arithmétique
arm	?:bras
armchair	?:fauteuil
armenia	?:Arménie
armenian	?:Arménien
armorica	?:Armorique
armour	?:armure
armoury	?:arsenal
armpit	?:aisselle
army	?:armée
arnica	?:arnica
aroma	?:arôme
aromatic	?:aromatique
around	?:autour de
arouse	?:réveiller
arrack	?:arack
arrange	?:régler
arrangement	?:construction
arras	?:Arras
arrest	?:arrêter
arrival	?:arrivée
arrivals	?:fourniture
arrive	?:arriver
arrogant	?:arrogant
arrow	?:flêche
arse	?:anus
arsenal	?:arsenal
arsenic	?:arsenic
art	?:art
arteriosclerosis	?:artériosclérose
artery	?:artère
artesian	?:artésien
arthritis	?:arthrite
artichoke	?:artichaut
article	?:chose
artificial	?:affecté
artillery	?:artillerie
artilleryman	?:artilleur
artisan	?:artisan
artist	?:artiste
arum	?:arum
aryan	?:Aryen
as	?:si
asbestos	?:asbeste
ascend	?:monter
ascertain	?:constater
ash	?:cendre
ashtray	?:cendrier
asia	?:Asie
asian	?:Asiatique
ask	?:prier
asparagus	?:asperge
aspect	?:air
aspen	?:tremble
asphalt	?:asphalte
asphodel	?:asphodèle
aspiration	?:souhait
aspire	?:aspirer
aspirin	?:aspirine
ass	?:âne
assailant	?:attaquant
assault	?:attaquer
assemblage	?:réunion
assemble	?:monter
assembly	?:assemblée
assent	?:affirmer
assert	?:affirmer
assertion	?:assertion
asset	?:acquisition
assets	?:actif
assign	?:attribuer
assimilate	?:assimiler
assimilation	?:assimilation
assist	?:aider
assistant	?:adjoint
associate	?:s'accoupler
association	?:association
assumption	?:Assomption
assure	?:assurer
assyria	?:Assyrie
assyrian	?:Assyrien
aster	?:aster
asterisk	?:astérisque
asteroid	?:astéroïde
asthma	?:asthme
asthmatic	?:asthmatique
astringent	?:astringent
astrologer	?:astrologue
astrology	?:astrologie
astronaut	?:astronaute
astronomer	?:astronome
astronomic	?:astronomique
astronomical	?:astronomique
astronomy	?:astronomie
asturias	?:Asturies
astute	?:avisé
asylum	?:abri
asymmetric	?:asymétrique
asymmetrical	?:asymétrique
at	?:de
atavism	?:atavisme
atelier	?:studio
athabasca	?:Atabasca
atheism	?:athéisme
atheist	?:athée
athena	?:Athènes
athene	?:Athènes
athenian	?:Athénien
athens	?:Athènes
athlete	?:athlète
athletic	?:athlétique
athletics	?:athlétisme
atlantean	?:atlantique
atlantic	?:atlantique
atlas	?:Atlas
atmosphere	?:ambiance
atmospheric	?:atmosphèrique
atoll	?:atoll
atom	?:atome
atomic	?:atomique
atpersand	?:colimaçon
atrocity	?:horreur
atrophy	?:atrophie
attach	?:fixer
attachement	?:dévouement
attachment	?:attachement
attack	?:accès
attacker	?:attaquant
attain	?:atteindre
attempt	?:peine
attend	?:être présent
attention	?:attention
attentive	?:attentif
attentively	?:attentivement
attest	?:démontrer
attic	?:mansarde
attica	?:Attique
attitude	?:attitude
attitudinize	?:agir avec affectation
attitudinizer	?:poseur
attract	?:attirer
attraction	?:appât
attractive	?:attirant
attribute	?:attribut
attune	?:adapter
aubade	?:aubade
aubergine	?:aubergine
auction	?:vente aux enchères
audacious	?:audacieux
audacity	?:audace
audience	?:audience
audit	?:vérifier
auditory	?:audience
augeas	?:Augias
augment	?:augmenter
august	?:août
augustus	?:Auguste
aunt	?:tante
aura	?:aura
aureole	?:auréole
aurochs	?:aurochs
aurora	?:aurore
australia	?:Australie
australian	?:Australien
austria	?:Autriche
austrian	?:Autrichien
autarky	?:autarcie
authentic	?:authentique
author	?:auteur
authorative	?:autoritaire
authority	?:autorité
authorization	?:autorisation
authorize	?:autoriser
autism	?:autisme
autistic	?:autistique
autobiographical	?:autobiographique
autobiography	?:autobiographie
autobus	?:autobus
autocracy	?:autocratie
autocrat	?:autocrate
autocratic	?:autocratique
autodidact	?:autodidacte
autogenous	?:autogène
automate	?:automatiser
automatic	?:automatique
automatically	?:automatiquement
automoton	?:automate
autonomic	?:autonome
autonomous	?:autonome
autonomy	?:autonomie
autopsy	?:autopsie
autumn	?:saison
auxilary	?:auxiliaire
avalanche	?:avalanche
avarice	?:avarice
avaricious	?:avare
avenge	?:venger
avenue	?:avenue
average	?:centre
aversion	?:antipathie
aviation	?:aviation
aviator	?:aviateur
avidity	?:avidité
avoid	?:éviter
await	?:attendre
awaken	?:réveiller
aware	?:conscient
awareness	?:connaissance
away	?:loin
awful	?:horrible
awfully	?:affreusement
awkward	?:maladroit
axe	?:hache
axiom	?:axiome
axis	?:axe
axle	?:axe
azalea	?:azalée
azimuth	?:azimut
aztec	?:aztèque
babel	?:Babylone
baboon	?:babouin
baby	?:bébé
babylon	?:Babylone
babylonia	?:Babylonie
babylonian	?:babylonien
babysitter	?:baby‐sitter
bacchus	?:Bacchus
bachelor	?:garçon
back	?:dos
background	?:fond
backpack	?:sac tyrolien
backside	?:derrière
bacon	?:lard
bacterium	?:bactérie
bad	?:mal
badge	?:insigne
badly	?:mal
bagasse	?:bagasse
baggage	?:colis
bairn	?:enfant
bake	?:faire cuire au
bakelite	?:bakélite
baker	?:boulanger
bakery	?:boulangerie
balalaika	?:balalaïka
balance	?:solde
balcony	?:balcon
bald	?:chauve
baldachin	?:baldaquin
balinese	?:Balinais
balkans	?:Balkans
ball	?:balle
ballad	?:ballade
ballade	?:ballade
ballast	?:lest
ballerina	?:ballerine
ballet	?:ballet
ballistics	?:balistique
balloon	?:ballon
ballpoint	?:stylo à bille
balm	?:baume
balsam	?:baume
baltic	?:balte
balustrade	?:rampe
bamboo	?:bambou
ban	?:anathème
banana	?:banane
band	?:bande
bandage	?:bandage
bandit	?:bandit
banisters	?:rampe
banjo	?:banjo
bank	?:banque
banker	?:banquier
bankruptcy	?:banqueroute
banner	?:drapeau
banquet	?:banquet
bantu	?:Bantou
banyan	?:banian
baobab	?:baobab
baptism	?:baptême
baptist	?:baptiste
baptistery	?:baptistère
baptize	?:baptiser
bar	?:bar
barbados	?:Barbade
barbarian	?:barbare
barbaric	?:barbare
barbarism	?:barbarisme
barbarity	?:barbarie
barbarousness	?:barbarie
barbel	?:barbeau
barber	?:coiffeur
barcelona	?:Barcelone
bard	?:barde
bare	?:nu
barely	?:à peine
bargain	?:marchander
barge	?:barge
baritone	?:baryton
barium	?:baryum
bark	?:coque
barley	?:orge
