a	?:en
marriage	?:mariage
married	?:marié
marry	?:marier
mars	?:Mars
marseilles	?:Marseille
marsh	?:marais
marten	?:martre
martyr	?:martyr
marvel	?:s'étonner
mary	?:Marie
masculine	?:mâle
mask	?:masque
mason	?:maçon
mass	?:masse
massacre	?:massacrer
massage	?:masser
massive	?:massif
mast	?:mât
master	?:maître
masturbate	?:se masturber
match	?:allumette
mate	?:s'accoupler
material	?:matériel
mathematical	?:mathématique
mathematics	?:mathématiques
matrimony	?:mariage
matter	?:chose
matterhorn	?:mont Cervin
mattress	?:matelas
mature	?:fait
mauretanian	?:Mauritanien
mauritania	?:Mauritanie
mauritius	?:île Maurice
maw	?:gueule
maxim	?:sentence
maximum	?:maximum
may	?:mai
maybe	?:peut‐être
mayence	?:Mayence
mayhap	?:peut‐être
mayor	?:maire
me	?:me
meadow	?:pré
meager	?:pauvre
meal	?:repas
mealies	?:maïs
mean	?:centre
meaning	?:sens
means	?:moyen
meanwhile	?:dans l'intervalle
measurable	?:prévisible
measure	?:mesure
measurement	?:mesure
meat	?:viande
mecca	?:Mecque
mechanic	?:mécanicien
mechanics	?:mécanique
mechlin	?:Malines
medal	?:médaille
mediation	?:intermédaire
medicine	?:remède
meditate	?:méditer
mediterranean	?:Méditerranée
medusa	?:Méduse
meet	?:rencontrer
meeting	?:réunion
melancholy	?:sombre
melanesia	?:Mélanésie
melanesian	?:Mélanésien
melody	?:mélodie
melon	?:melon
melt	?:fondre
member	?:membre
memento	?:souvenir
memorize	?:apprendre par cœur
memory	?:mémoire
menace	?:menace
menacing	?:sinistre
mend	?:rapiécer
mental	?:mental
mention	?:mentionner
menu	?:carte
mephistopheles	?:Méphistophélès
merchandise	?:produit
merchant	?:marchand
merciful	?:sensible
mercifulness	?:compassion
mercury	?:Mercure
mercy	?:compassion
mere	?:pur
merit	?:mérite
merry	?:joyeux
mesh	?:maille
mesopotamia	?:Mésopotamie
mess	?:purée
message	?:faire‐part
messiah	?:Messie
messina	?:Messine
metal	?:métal
metamorphosis	?:transformation
meteorite	?:aérolithe
method	?:méthode
methuselah	?:Mathusalem
metre	?:mètre
meuse	?:Meuse
mexican	?:Mexicain
mexico	?:Mexique
mica	?:mica
microbe	?:microbe
micrometre	?:micromètre
midday	?:midi
middle	?:centre
midget	?:nain
midwife	?:sage‐femme
migrate	?:voyager au loin
milan	?:Milan
mild	?:doux
milk	?:lait
mill	?:usine
miller	?:meunier
millimetre	?:millimètre
milliner	?:modiste
mind	?:esprit
mine	?:mine
miner	?:mineur
mineral	?:minéral
minerva	?:Minerve
mingle	?:retourner
minimum	?:minimum
minister	?:ministre
ministry	?:ministère
minority	?:minorité
mint	?:menthe
minus	?:moins
minute	?:minute
minutes	?:compte‐rendu
miracle	?:miracle
mirror	?:miroir
miscarriage	?:avortement
miscarry	?:avorter
mischievous	?:méchant
miserable	?:mal
miserliness	?:avarice
miserly	?:avare
misery	?:misère
miss	?:manquer
mission	?:mission
missionary	?:missionnaire
mist	?:brouillard
mistake	?:erreur
mistaken	?:abusif
mister	?:monsieur
mistletoe	?:gui
mistress	?:maîtresse
misunderstanding	?:malentendu
mite	?:acarien
mitten	?:gant
mix	?:retourner
moan	?:gémir
mobile	?:mobile
mock	?:bafouer
mockery	?:simulacre
mode	?:manière
model	?:modèle
moderate	?:retenir
modern	?:moderne
modest	?:modeste
modesty	?:modestie
modify	?:modifier
mohammed	?:Mahomet
moist	?:humide
mold	?:fondre
moldavia	?:Moldavie
moldavian	?:Moldave
mole	?:taupe
moluccan	?:Moluquois
moluccas	?:Moluques
mom	?:maman
moment	?:moment
mommy	?:maman
monacan	?:Monégasque
monaco	?:Monaco
monastery	?:couvent
monday	?:lundi
monegasque	?:monégasque
money	?:argent
mongolia	?:Mongolie
mongrel	?:hybride
monk	?:moine
monkey	?:singe
monkshood	?:aconit
monopolize	?:accaparer
monotonous	?:monotone
monsignor	?:monseigneur
monster	?:monstre
montenegrin	?:Monténégrin
montenegro	?:Monténégro
month	?:mois
monthly	?:par moins
monument	?:monument
mood	?:ambiance
moon	?:lune
moor	?:More
moorish	?:maure
moose	?:élan
moped	?:vélomoteur
moral	?:moral
morality	?:vertu
morals	?:morale
moravia	?:Moravie
more	?:plus
moreover	?:et puis
mores	?:coutume
moresque	?:maure
morning	?:matin
moroccan	?:Marocain
morocco	?:Maroc
morpheus	?:Morphée
morphia	?:morphine
morphine	?:morphine
morter	?:mortier
mortgage	?:hypothèque
moscow	?:Moscou
moselle	?:Moselle
moses	?:Moïse
mosque	?:mosquée
mosquito	?:moustique
moss	?:mousse
most	?:le plus
mostly	?:plupart
moth	?:mite
mother	?:mère
motion	?:résolution
motionless	?:fixe
motive	?:occasion
motor	?:moteur
motorcycle	?:moto
motoring	?:automobilisme
motorist	?:automobiliste
motorway	?:autoroute
motto	?:devise
mould	?:fondre
mouldy	?:moisi
mount	?:monter
mountain	?:montagne
mountaineer	?:alpiniste
mountaineering	?:alpinisme
mounting	?:montage
mourn	?:regretter
mournful	?:sombre
mourning	?:deuil
mouse	?:souris
moustache	?:moustache
mouth	?:bouche
move	?:se déplacer
movement	?:mouvement
movie	?:film
moving	?:attendrissant
mow	?:faucher
much	?:beaucoup de
mud	?:boue
muhammad	?:Mahomet
mule	?:mulet
multicoloured	?:multicolore
multiple	?:multiple
multitude	?:masse
munich	?:Munich
munition	?:munitions
murder	?:assassiner
murderer	?:meurtrier
murk	?:obscurité
murmur	?:murmure
muscle	?:muscle
muscovite	?:Moscovite
museum	?:musée
mush	?:purée
mushroom	?:champignon
music	?:musique
musician	?:musicien
musket	?:mousquet
musquash	?:rat musqué
mussel	?:moule
must	?:devoir
mustard	?:moutarde
musty	?:moisi
mute	?:muet
mutiny	?:révolte
mutter	?:murmurer
mutton	?:mouton
mutual	?:réciproque
mutually	?:se
muzzle	?:muselière
my	?:mon
mycenae	?:Mycènes
myrrh	?:myrrhe
mysterious	?:mystérieux
mystery	?:mystère
mystic	?:mystique
mystical	?:mystique
mysticism	?:mysticisme
mystification	?:mystification
mystify	?:mystifier
myth	?:mythe
mythical	?:mythique
mythologist	?:mythologue
mythology	?:mythologie
myxomatosis	?:myxomatose
nail	?:clou
naked	?:nu
name	?:nom
nameless	?:anonyme
namur	?:Namur
nanking	?:Nankin
nape	?:nuque
napkin	?:serviette
naples	?:Naples
narcissus	?:narcisse
narrate	?:raconter
narrative	?:relation
narrow	?:étroit
nasturtium	?:capucine
nasty	?:mal
nation	?:peuple
national	?:national
native	?:naturel
natural	?:naturel
naturally	?:bien sûr
nature	?:nature
naught	?:zéro
nauseate	?:écœurer
nave	?:moyeu
navel	?:nombril
navigate	?:naviguer
naïf	?:naïf
naïve	?:naïf
neapolitan	?:Napolitain
near	?:près
nearby	?:près
nearly	?:presque
neat	?:net
nebuchadnezzar	?:Nabuchodonosor
necessary	?:nécessaire
necessity	?:nécessité
neck	?:cou
necktie	?:cravate
need	?:avoir besoin de
needle	?:épingle
needlework	?:couture
needy	?:vide
neglect	?:négliger
neglectful	?:négligent
negligence	?:négligence
negligent	?:distrait
negro	?:Noir
neighbour	?:voisin
neighbourhood	?:quartier
neighbouring	?:adjacent
neither	?:personne
nelson	?:Nelson
nematode	?:nématode
nemesis	?:Némésis
neon	?:néon
nepal	?:Népal
nepalese	?:Népalais
nephew	?:neveu
neptune	?:Neptune
nerve	?:nerf
nervous	?:nerveux
nest	?:nid
net	?:réseau
nettle	?:ortie
network	?:réseau
neutral	?:neutre
never	?:jamais
nevertheless	?:tout de même
new	?:nouveau
newfoundland	?:Terre‐Neuve
newness	?:primeur
news	?:actualités
newspaper	?:journal
next	?:puis
nibble	?:ronger
nicaragua	?:Nicaragua
nicaraguan	?:Nicaraguayen
nice	?:bon
niche	?:niche
nickel	?:nickel
niece	?:nièce
niger	?:Niger
nigeria	?:Nigeria
nigerian	?:Nigérian
nigerien	?:Nigérien
nigger	?:bougnoul
night	?:nuit
nightingale	?:rossignol
nile	?:Nil
nimrod	?:Nemrod
nimwegen	?:Nimègue
nine	?:neuf
nineteen	?:dix‐neuf
ninety	?:quatre‐vingt‐dix
nip	?:apéro
nipple	?:mamelon
nitrogen	?:azote
no	?:non
noah	?:Noé
noble	?:élevé
nobleman	?:seigneur
nobleness	?:grandeur
nobody	?:personne
node	?:nœud
noiseless	?:silencieux
nomination	?:liste
none	?:personne
nonsense	?:absurdité
noon	?:midi
normal	?:normal
norman	?:Normand
norseman	?:Normand
north	?:nord
northman	?:Normand
norway	?:Norvège
norwegian	?:Norvégien
nose	?:nez
nostalgia	?:nostalgie
not	?:pas
notary	?:notaire
notch	?:encoche
note	?:note
notebook	?:cahier
noteworthy	?:remarquable
nothing	?:rien
notice	?:faire‐part
notion	?:notion
notwithstanding	?:malgré
nought	?:zéro
nourish	?:nourrir
nourishment	?:nourriture
novel	?:nouveau
november	?:novembre
now	?:maintenant
nowadays	?:actuellement
nowhere	?:nulle part
nuance	?:teinte
nuclear	?:nucléaire
nucleus	?:centre
nude	?:nu
null	?:zéro
number	?:nombre
numeral	?:numéro
nuremberg	?:nurembergeois
nurse	?:soigner
nut	?:noix
nuts	?:fou
nutty	?:aromatique
nylon	?:nylon
nymph	?:nymphe
o'clock	?:heure
oak	?:chêne
oar	?:rame
oasis	?:oasis
oath	?:serment
oats	?:avoine
obedient	?:docile
obey	?:obéir
object	?:chose
obliging	?:gentil
oblique	?:oblique
obscure	?:obscur
observation	?:réflexion
observe	?:suivre
obsess	?:obséder
obstacle	?:obstacle
obstetrician	?:sage‐femme
obstinate	?:tenace
obstruct	?:barrer
obtain	?:acquérir
obtainable	?:accessible
obtuse	?:obtus
obvious	?:évident
obviously	?:évidemment
occasion	?:fois
occupation	?:métier
occupy	?:occuper
occur	?:avoir lieu
occurrence	?:occasion
ocean	?:océan
oceania	?:Océanie
oceanica	?:Océanie
october	?:octobre
octopus	?:poulpe
odd	?:drôle
odor	?:odeur
odour	?:odeur
oedipus	?:Œdipe
of	?:de
offal	?:abats
offence	?:agacement
offend	?:insulter
offer	?:offre
office	?:service
officer	?:officier
official	?:fonctionnaire
offset	?:distance
offspring	?:successeur
often	?:beaucoup
oh	?:ah
ohm	?:ohm
oil	?:huile
okay	?:bien
old	?:ancien
olive	?:olive
olympus	?:Olympe
omen	?:augure
omit	?:omettre
omnibus	?:autobus
on	?:de
one	?:une
onerous	?:lourd
onion	?:oignon
only	?:seul
ontario	?:Ontario
open	?:ouvrir
opening	?:début
operate	?:fonctionner
operation	?:opération
operative	?:ouvrier
opine	?:être d'avis
opinion	?:avis
oporto	?:Porto
opponent	?:adversaire
opportune	?:convenable
opportunity	?:occasion
oppose	?:rouspéter
opposite	?:contre
opposition	?:opposition
oppress	?:serrer
oppressive	?:étouffant
optician	?:opticien
optimism	?:optimisme
option	?:alternative
or	?:ou
orange	?:Orange
orator	?:orateur
orbit	?:orbite
orchard	?:verger
orchestra	?:orchestre
orchestrate	?:adapter
orchestration	?:adaptation musicale
ordain	?:destiner
ordeal	?:désolation
order	?:suite
ordinarily	?:ordinairement
ordinary	?:ordinaire
ore	?:minerai
organ	?:organe
organize	?:organiser
orgy	?:orgie
origin	?:origine
original	?:original
originate	?:provenir
orkneys	?:Orcades
ornament	?:décorer
orphan	?:orphelin
orpheus	?:Orphée
orthodox	?:orthodoxe
orthography	?:orthographe
oscillate	?:osciller
ostend	?:Ostende
ostende	?:Ostende
ostrich	?:autruche
ostrogoth	?:Ostrogoth
other	?:autre
ouch	?:aïe
out	?:dehors
outfit	?:complet
outing	?:randonnée
outline	?:silhouette
outset	?:début
outside	?:dehors
oven	?:four
over	?:au‐dessus de
overall	?:total
overalls	?:blouse longue
overcoat	?:manteau
overflow	?:déborder
overground	?:aérien
overhaul	?:dépasser
overhead	?:sur
overlay	?:recouvrir
overlook	?:omettre
overshoe	?:galoche
overtake	?:dépasser
overthrow	?:faire tomber
overtone	?:sous‐entendu
overture	?:ouverture
overwhelm	?:combler
ow	?:ah
owe	?:devoir
owl	?:chouette
own	?:propre
ownership	?:propriété
ox	?:bœuf
oxygen	?:oxygène
oyster	?:huître
ozone	?:ozone
pace	?:pas
pacific	?:Pacifique
pacifier	?:sucette
pack	?:paquet
packet	?:paquet
pad	?:bloc
paddle	?:patauger
padre	?:aumônier
page	?:page
pail	?:seau
pain	?:mal
painful	?:pénible
paint	?:peinture
paintbrush	?:pinceau
painter	?:peintre
pair	?:couple
pakistan	?:Pakistan
pakistani	?:Pakistanais
pal	?:camarade
palace	?:palais
pale	?:pâle
palestine	?:Palestinien
palestinian	?:Palestine
palladium	?:palladium
palm	?:paume
palmtree	?:palmier
pamper	?:dorloter
pamphlet	?:brochure
pan	?:Pan
panama	?:Panama
panamanian	?:Panaméen
pancake	?:crêpe
pandora	?:Pandore
panel	?:panneau
panic	?:panique
pansy	?:pensée
panther	?:panthère
panties	?:culotte
pantry	?:réserve
pants	?:pantalon
paparazzo	?:paparazzo
paper	?:papier
paperback	?:brochure
paprika	?:paprika
papuan	?:Papou
parachute	?:parachute
parade	?:pompe
paradise	?:paradis
paradox	?:paradoxe
paragraph	?:alinéa
parallel	?:parallèle
paralyse	?:paralyser
parapet	?:rampe
parasite	?:parasite
parcel	?:paquet
pardon	?:pardon
parenthesis	?:parenthèse
parents	?:parents
paris	?:Paris
parish	?:paroisse
parisian	?:Parisien
park	?:parc
parliament	?:parlement
parlour	?:salon
parrot	?:perroquet
parsley	?:persil
part	?:partie
parterre	?:parterre
parthian	?:partie
partially	?:en partie
participate	?:prendre part
participle	?:participe
particular	?:particulier
particularly	?:surtout
partly	?:en partie
partridge	?:perdrix
party	?:suite
pass	?:passer
passage	?:couloir
passenger	?:passager
passion	?:passion
passport	?:passeport
past	?:passé
paste	?:pâte
pastor	?:prêtre
pat	?:taper
patch	?:rapiécer
pate	?:tête
path	?:chemin
patience	?:patience
patient	?:patient
patriot	?:patriote
patrol	?:reconnaissance
patrolman	?:gendarme
patron	?:protecteur
pattern	?:modèle
pause	?:pause
pavement	?:trottoir
pavilion	?:pavillon
paw	?:jambe
pawn	?:soldat
pay	?:payer
payment	?:paye
pea	?:pois
peace	?:paix
peach	?:pêche
peacock	?:paon
peak	?:bout
peal	?:sonner
peanut	?:cacahuète
pear	?:poire
pearl	?:perle
peasant	?:paysan
peat	?:tourbe
peculiar	?:drôle
pedal	?:pédale
pedestrian	?:piéton
peel	?:coque
peep	?:pépier
peevish	?:maussade
peg	?:apéro
pegasus	?:Pégase
peiping	?:Pékin
peking	?:Pékin
pelican	?:pélican
pelvis	?:bassin
pencil	?:crayon
penelope	?:Pénélope
penetrate	?:entrer
peninsula	?:péninsule
penis	?:pénis
pension	?:retraite
pentateuch	?:Pentateuque
pentecost	?:Pentecôte
penthouse	?:abri
people	?:gens
pepper	?:poivre
per	?:en
perceive	?:saisir
percent	?:pourcentage
percentage	?:pourcentage
perchance	?:peut‐être
perfect	?:parfait
perfection	?:perfection
perform	?:faire
perfume	?:parfum
perhaps	?:peut‐être
peril	?:danger
period	?:point
periodical	?:journal
perish	?:s'abîmer
periwinkle	?:pervenche
permanent	?:permanent
permission	?:permis
permit	?:permettre
perplexity	?:embarras
persecute	?:poursuivre
persevere	?:persister
persia	?:Iran
persian	?:Iranien
persist	?:persister
person	?:personne
personal	?:propre
personality	?:caractère
perspective	?:perspective
perspiration	?:sueur
persuade	?:convaincre
perturb	?:rendre trouble
peru	?:Pérou
pessimism	?:pessimisme
pessimist	?:pessimiste
pestle	?:pistil
pet	?:dorloter
petal	?:pétale
petrol	?:essence
petroleum	?:pétrole
pettish	?:maussade
petulant	?:malin
phantom	?:apparition
pharmaceutical	?:remède
phase	?:phase
pheasant	?:faisan
phenomenon	?:phénomène
phi	?:horreur
philippine	?:des Philippines
philippines	?:Philippines
philosophy	?:philosophie
phoenix	?:phénix
phonograph	?:phonographe
phosphorus	?:phosphore
photograph	?:photo
photographer	?:photographe
photography	?:photographie
physician	?:médecin
physics	?:physique
piano	?:piano
pick	?:piquer
pickle	?:gamin
picture	?:image
picturesque	?:pittoresque
pie	?:tarte
piece	?:partie
pier	?:débarcadère
pig	?:porc
pigeon	?:pigeon
pigeonhole	?:domaine
piglet	?:goret
pigmy	?:pygmée
pike	?:brochet
pile	?:masse
pill	?:pilule
pillar	?:colonne
pillow	?:oreiller
pilot	?:pilote
pimple	?:bouton
pin	?:épingle
pincers	?:pinces
pinch	?:pincer
pine	?:pin
pineapple	?:ananas
pink	?:rose
pioneer	?:pionnier
pious	?:pieux
pip	?:grain
pipe	?:tube
pistol	?:pistolet
piston	?:piston
pit	?:centre
pitcher	?:cruche
pitiful	?:pauvre
pity	?:mal
pivot	?:pivot
placard	?:affiche
place	?:place
plain	?:clair
plait	?:tisser
plan	?:projet
plane	?:projet
planet	?:planète
plank	?:panneau
plant	?:plante
plash	?:barboter
plaster	?:revêtir
plastic	?:plastique
plate	?:plat
plateau	?:plateau
platform	?:programme
platinum	?:platine
plato	?:Platon
platter	?:met
plausible	?:vraisamblable
play	?:représenter
plaza	?:place
plea	?:argument
plead	?:plaider
pleasant	?:agréable
pleasantly	?:agréablement
pleasantness	?:agrément
please	?:plaire
pleased	?:content
pleasure	?:plaisir
plentiful	?:abondant
plenty	?:abondance
plot	?:intrigue
plough	?:charrue
pluck	?:cueillir
plug	?:bouchon
plum	?:prune
plunder	?:ravir
plunge	?:plonger
plus	?:plus
pluto	?:Pluton
plutonium	?:plutonium
pocket	?:poche
podium	?:estrade
poem	?:poème
poet	?:poète
poetry	?:poésie
point	?:point
pointed	?:pointu
poison	?:poison
poisonous	?:venimeux
poland	?:Pologne
pole	?:barre
police	?:police
policeman	?:agent
policy	?:politique
polish	?:polonais
polite	?:poli
politeness	?:politesse
politics	?:politique
polynesia	?:Polynésie
polynesian	?:Polynésien
polyp	?:pieuvre
pomerania	?:Poméranie
pomp	?:pompe
pond	?:étang
pool	?:piscine
poor	?:mal
pope	?:pape
poplar	?:peuplier
poppy	?:pavot
popular	?:populaire
population	?:population
pork	?:porc
porpoise	?:marsouin
port	?:port
portent	?:augure
porter	?:porteur
porthole	?:lucarne
portrait	?:portrait
portugal	?:Portugal
portuguese	?:Portugais
pose	?:poser
poseur	?:poseur
position	?:position
positive	?:positif
possess	?:posséder
possession	?:possession
possible	?:possible
possibly	?:peut‐être
post	?:place
postage	?:port
postcard	?:carte postale
poster	?:affiche
postman	?:facteur
postpone	?:renvoyer
postulate	?:demander
pot	?:pot
potassium	?:potassium
potato	?:pomme de terre
pound	?:broyer
pour	?:verser
powder	?:poudre
power	?:puissance
powerful	?:puissant
practical	?:réel
practice	?:pratique
practise	?:exercer
prague	?:Prague
praise	?:louange
prawn	?:crevette
pray	?:prier
prayer	?:prière
preach	?:prêcher
precede	?:avancer
precious	?:rare
precipice	?:gouffre
precise	?:net
precision	?:exactitude
predisposition	?:disposition
predominant	?:principal
predominating	?:souverain
preface	?:introduction
prefer	?:aimer mieux
preferably	?:le mieux
prefix	?:préfixe
pregnant	?:pleine
prejudice	?:parti‐pris
premium	?:prix
preparation	?:préparation
prepare	?:préparer
prepay	?:affranchir
preposition	?:préposition
presage	?:augure
prescription	?:recette
presence	?:présence
present	?:présent
presentation	?:séance
preservation	?:garde
preservative	?:préservatif
preserve	?:maintenir
preside	?:présider
president	?:président
press	?:presse
pressure	?:pression
prestige	?:gloire
presume	?:supposer
pretend	?:se retrancher
pretext	?:prétexte
pretty	?:joli
prevent	?:empêcher
previous	?:précédent
previously	?:devant
prey	?:proie
price	?:prix
pricey	?:cher
prick	?:piqûre
priest	?:prêtre
primrose	?:primevère
prince	?:prince
princess	?:princesse
principal	?:principal
principally	?:surtout
principle	?:principe
print	?:impression
printer	?:imprimeur
prior	?:précédent
prison	?:prison
prisoner	?:prisonnier
private	?:privé
privet	?:troène
privilege	?:privilège
privileged	?:privilégié
prize	?:prix
probable	?:vraisemblable
probably	?:probablement
problem	?:problème
proboscis	?:trompe
procedure	?:recette
proceed	?:procéder
process	?:processus
procession	?:procession
proclaim	?:proclamer
proclamation	?:déclaration
procure	?:procurer
produce	?:réaliser
production	?:production
profane	?:violer
profess	?:avouer
profession	?:profession
professor	?:professeur
profit	?:avantage
profound	?:profond
profuse	?:abondant
prognosis	?:prognostic
programme	?:programme
progress	?:progrès
prohibit	?:interdire
project	?:projet
proletarian	?:prolétaire
prologue	?:prologue
promenade	?:promenade
promise	?:promesse
promote	?:promouvoir
promotion	?:année
promotor	?:promoteur
prompt	?:mobile
pronounce	?:prononcer
pronunciation	?:prononciation
proof	?:preuve
prop	?:appui
propaganda	?:propagande
propeller	?:hélice
proper	?:juste
properly	?:proprement
property	?:qualité
prophesy	?:prédire
prophet	?:prophète
proportion	?:proportion
prosecute	?:poursuivre
prospectus	?:prospectus
prosper	?:prospérer
prosperity	?:prospérité
prostitute	?:fille
prostitution	?:prostitution
protect	?:assurer
protection	?:garde
protectionist	?:protecteur
protein	?:protéine
protest	?:protestation
protestant	?:protestant
proteus	?:Protée
protocol	?:compte‐rendu
proton	?:proton
prototype	?:prototype
proud	?:fier
prove	?:prouver
proverb	?:sentence
provide	?:pourvoir
province	?:province
provisional	?:provisoire
provoke	?:provoquer
provost	?:maire
proximity	?:voisinage
prude	?:bégueule
prudence	?:prudence
prudent	?:sage
prudish	?:bégueule
prussia	?:Prusse
prussian	?:Prussien
psalm	?:psaume
pseudonym	?:pseudonyme
psyche	?:psychisme
psychiatrist	?:psychiatre
psychiatry	?:psychiatrie
psychic	?:psychique
psychologist	?:psychologue
psychology	?:psychologie
ptolemy	?:Ptolémée
pub	?:abreuvoir
puberty	?:adolescence
public	?:public
publicity	?:publicité
publicize	?:propager
publish	?:publier
pull	?:tirer
pulse	?:pouls
pulverize	?:moudre
puma	?:puma
pump	?:pompe
pumpkin	?:potiron
punctual	?:ponctuel
punctuate	?:parsemer
punctuation	?:ponctuation
punish	?:punir
punishment	?:peine
puppet	?:poupée
purchase	?:acheter
purchaser	?:acheteur
pure	?:propre
purge	?:purifier
purity	?:propreté
purple	?:pourpre
purpose	?:but
purse	?:porte‐monnaie
pursue	?:poursuivre
pus	?:pus
push	?:pousser
pussy	?:con
put	?:mettre
putrefy	?:pourrir
puzzle	?:confondre
pvc	?:chlorure de polyvinyle
pyjamas	?:pyjama
pyramid	?:pyramide
quack	?:charlatan
quail	?:caille
quaint	?:intéressant
qualify	?:qualifier
quality	?:qualité
quantity	?:quantité
quarrel	?:dispute
quarter	?:quartier
quash	?:détruire
quay	?:quai
quebec	?:Québec
queen	?:dame
quell	?:étouffer
quest	?:recherche
question	?:question
quibble	?:chicaner
quick	?:rapide
quickly	?:vite
quicksilver	?:mercure
quiet	?:tranquille
quietly	?:paisiblement
quietness	?:repos
quilt	?:piquer
quince	?:coing
quinsy	?:angine
quit	?:quitter
quite	?:tout
quiver	?:trembler
quivering	?:frisson
quotation	?:citation
quote	?:rapporter des propos
quotes	?:guillemets
rabbi	?:rabbin
rabbit	?:lapin
rabies	?:rage
raccoon	?:raton laveur
race	?:race
rack	?:arack
racoon	?:raton laveur
radiate	?:rayonner
radiator	?:radiateur
radical	?:radical
radio	?:radio
radish	?:radis
radium	?:radium
radius	?:rayon
radon	?:radon
raffle	?:loterie
raft	?:radeau
rag	?:chiffon
ragout	?:ragoût
rail	?:rail
railing	?:rampe
railroad	?:chemin de fer
railway	?:chemin de fer
rain	?:pluie
rainbow	?:arc‐en‐ciel
raincoat	?:imperméable
raise	?:lever
rake	?:râteau
ram	?:bélier
ranch	?:bien
rancour	?:rancune
rand	?:rand
random	?:accidentel
rank	?:tour
rap	?:rapper
rapid	?:rapide
rapsody	?:rapsodie
rare	?:rare
rasp	?:râper
raspberry	?:framboise
rat	?:rat
rate	?:rang
rather	?:si
rational	?:rationnel
ratisbon	?:Ratisbonne
rattle	?:claquer
rave	?:être fou
raven	?:corbeau
ravine	?:abîme
raw	?:cru
ray	?:bande
razor	?:lame
reach	?:atteindre
reaction	?:réaction
read	?:lire
reader	?:lecteur
ready	?:prêt
real	?:réel
reality	?:réalité
realize	?:comprendre
really	?:en fait
realm	?:puissance
rear	?:arrière‐garde
rearguard	?:arrière‐garde
reason	?:raison
reasonable	?:sage
rebate	?:réduction
rebel	?:se révolter
rebellion	?:révolte
rebellious	?:rebelle
rebound	?:rebondir
rebuke	?:reprendre
recall	?:se rappeler
receipt	?:reçu
receive	?:recevoir
recent	?:frais
recently	?:récemment
receptionist	?:receptionniste
recess	?:pause
recipe	?:recette
recipient	?:destinataire
reciprocal	?:réciproque
reciprocally	?:se
recite	?:réciter
reclaim	?:acquérir péniblement
recline	?:être couché
recognize	?:croire
recollect	?:se rappeler
recollection	?:mémoire
recommend	?:recommander
recommendable	?:recommandable
recommendation	?:proposition
record	?:rapport
recover	?:récupérer
recovery	?:salut
recreation	?:transformation
recruit	?:gagner
red	?:rouge
reduce	?:réduire
reed	?:roseau
reef	?:récif
reek	?:sentir
refashioning	?:transformation
referee	?:arbitre
refine	?:raffiner
refined	?:tendre
reflect	?:réfléchir
reflection	?:reflet
reform	?:transformation
refresh	?:rafraîchir
refrigerator	?:réfrigérateur
refuge	?:refuge
refugee	?:réfugié
refuse	?:refuser
refute	?:rejeter
regain	?:rattraper
regal	?:royal
regard	?:regarder
regeneration	?:transformation
regiment	?:régiment
region	?:région
regional	?:local
register	?:enregistrer
registered	?:recommandé
regret	?:regretter
regrettably	?:malheureusement
regular	?:régulier
regularly	?:souvent
regulate	?:régler
regulation	?:règle
regulations	?:statut
reign	?:gouvernement
reject	?:refuser
rejoice	?:être joyeux
relate	?:raconter
relation	?:abord
relations	?:proches
relative	?:parent
relatively	?:relativement
relatives	?:proches
relax	?:se relâcher
release	?:laisser
relevance	?:rapport
reliable	?:sûr
religion	?:religion
religious	?:religieux
relinquish	?:abandonner
relinquishment	?:abandon
relish	?:savourer
remain	?:rester
remainder	?:reste
remaining	?:autre
remark	?:remarque
remarkable	?:remarquable
remedy	?:moyen
remember	?:se rappeler
remiss	?:négligent
remissness	?:négligence
remit	?:supprimer
remote	?:loin
removal	?:déménagement
remove	?:supprimer
rendezvous	?:rencontre
renew	?:renouveler
renounce	?:abandonner
renown	?:réputation
rent	?:loyer
renter	?:locataire
renunciation	?:abandon
repair	?:refaire
repay	?:reprendre
repeat	?:répéter
repeatedly	?:plusieurs fois
repellent	?:horrible
repelling	?:horrible
repent	?:regretter
replace	?:remplacer
replete	?:rassasié
reply	?:réponse
report	?:faire‐part
repose	?:repos
represent	?:représenter
representation	?:figure
representative	?:député
reproach	?:reprendre
reprove	?:reprendre
republic	?:république
repulse	?:rejeter
repulsive	?:horrible
reputation	?:réputation
repute	?:réputation
request	?:demander
require	?:demander
rescue	?:sauver
research	?:recherche
resemble	?:rejoindre
resent	?:s'indigner de
resentment	?:rancune
reserve	?:demander
reservoir	?:bol
residence	?:domicile
resign	?:retirer
resin	?:résine
resist	?:résister
resistance	?:résistance
resolution	?:résolution
resound	?:résonner
resources	?:moyen
respect	?:respect
respective	?:respectif
respiration	?:respiration
resplendant	?:magnifique
respond	?:correspondre à
responsibility	?:correspondance
responsible	?:responsable
rest	?:reste
restaurant	?:restaurant
restrain	?:retenir
restraints	?:bride
restrict	?:limiter
result	?:suite
resume	?:recommencer
resumé	?:réduction de texte
retain	?:réprimer
retention	?:garde
retire	?:se retirer
retirement	?:retraite
retreat	?:se retirer
retrenchment	?:réduction
return	?:retour
reveal	?:développer
revenge	?:revanche
reverse	?:inverse
reversed	?:inverse
review	?:critique
revise	?:revoir
revolt	?:révolte
revolution	?:révolution
revolver	?:revolver
revue	?:revue
reward	?:récompenser
rezignation	?:abandon
rheims	?:Reims
rheumatism	?:rhumatisme
rhine	?:Rhin
rhineland	?:Rhénanie
rhino	?:rhinocéros
rhinoceros	?:rhinocéros
