'aeneid'	?:'Aeneis'
accompaniment	?:Begleitung
accompanist	?:Begleiter
accompanists	?:Begleiter
accompanying	?:zugehörig
accomplice	?:Komplize
accomplices	?:Komplizen
accomplish	?:erlangen
accomplishable	?:erreichbar
accomplished	?:erreicht
accomplishes	?:bewältigt
accomplishing	?:bewältigend
accomplishment	?:Erfolg
accomplishments	?:bedeutende Leistungen
accord	?:Abkommen
accordance	?:gemäß
accordant	?:konkordant
accordantly	?:übereinstimmend
accorded	?:gewährt
according	?:übereinstimmend
accordingly	?:danach
accordion	?:Akkordeon
accordionist	?:Akkordeonspieler
accordionists	?:Akkordeonspieler
accordions	?:Akkordeons
accords	?:stimmt überein
accost	?:ansprechen
accosted	?:sprach an
accosting	?:ansprechend
accosts	?:spricht an
accouchement	?:Geburt
account	?:Grund
accountability	?:Verantwortlichkeit
accountable	?:verantwortlich
accountableness	?:Verantwortlichkeit
accountably	?:nachvollziehbar
accountancy	?:Rechnungswesen
accountant	?:Buchhalter
accountants	?:Buchhalter
accounted	?:erklärt
accounter	?:Bücherrevisor
accounting	?:erklärend
accounts	?:Bücher
accouter	?:einkleiden
accoutered	?:ausgestattet
accoutering	?:ausstaffierend
accouterments	?:Ausstattung
accouters	?:kleidet ein
accoutred	?:ausgestattet
accoutrements	?:Ausstattung
accoutring	?:ausstaffierend
accra	?:Akkra
accredit	?:bestätigen
accreditation	?:Akkreditierung
accredited	?:bestätigt
accrediting	?:Akkreditierung
accreted	?:vermehrt
accreting	?:vergrößernd
accretion	?:Wachstum
accretive	?:zunehmend
accrual	?:Entstehen
accruals	?:antizipative Passiva
accrue	?:entstehen
accrued	?:entstanden
accruement	?:Entstehung
accruements	?:Entstehungen
accrues	?:fällt an
accruing	?:anfallend
acculturate	?:sich einer Kultur anpassen
acculturated	?:sich einer Kultur angepasst
acculturating	?:akkulturierend
acculturation	?:kulturelle Anpassung
accumulate	?:wachsen
accumulated	?:gewachsen
accumulates	?:häuft an
accumulating	?:zahlreicher werdend
accumulation	?:Haufen
accumulations	?:Ansammlungen
accumulative	?:zunehmend
accumulatively	?:wachsend
accumulativeness	?:Ansammlung
accumulator	?:Akku
accumulators	?:Akkus
accuracy	?:Genauigkeit
accurate	?:genau
accurately	?:genau
accurateness	?:Sorgfalt
accursed	?:verflucht
accursedly	?:verdammt
accursedness	?:Elend
accurst	?:verflucht
accusal	?:Anklage
accusation	?:Vorwurf
accusations	?:Vorwürfe
accusatival	?:akkusativisch
accusative	?:vierter Fall
accusativeness	?:Anklage
accusatory	?:vorwurfsvoll
accused	?:vorgeworfen
accuser	?:Ankläger
accusers	?:Ankläger
accuses	?:beschuldigt
accusing	?:anklagend
accusingly	?:anschuldigend
accustomed	?:gewohnt
accustoming	?:Gewöhnung
ace	?:super
aceclidine	?:Aceclidin
aced	?:wie nichts geschafft
acefurtiamine	?:Acefurtiamin
acellular	?:zellenlos
acentric	?:azentrisch
acephalous	?:akephal
acer	?:Ahorn…
aceramic	?:akeramisch
acerate	?:lang und spitz
acerb	?:scharf
acerbated	?:verbittert
acerbating	?:verbitternd
acerbic	?:scharf
acerbically	?:bitter
acerbity	?:Rauheit
acerola	?:Puerto-Rico-Kirsche
acerose	?:lang und spitz
acervation	?:Anhäufung
aces	?:Asse
acescence	?:Essigstich
acetabulectomy	?:Hüftgelenk(s)pfannenexstirpation
acetabuloplasty	?:Hüftgelenk(s)pfannenrekonstruktion
acetabulum	?:Hüftgelenkpfanne
acetal	?:Polyoxymethylen
acetaldehyde	?:Azetaldehyd
acetaldol	?:Acetaldol
acetaminophen	?:Paracetamol
acetate	?:Acetat
acetergamine	?:Acetergamin
acetiamine	?:Acetiamin
acetic	?:essigsauer
acetified	?:wurde sauer
acetifies	?:wird sauer
acetify	?:sauer werden
acetifying	?:sauer werdend
acetogenese	?:Essigsäurebildungsphase
acetonaemia	?:Azetonämie
acetonaemic	?:azetonämisch
acetonasthma	?:Azetonasthma
acetone	?:Aceton
acetophenetidin	?:Phenacetin
acetylation	?:Acetylierung
acetylator	?:Azetylator
acetylators	?:Azetylatoren
acetylcholine	?:Acetylcholin
acetylcysteine	?:Acetylcystein
acetylene	?:Acetylen
ache	?:Schmerzen
ached	?:tat weh
achee	?:Aki
achene	?:einsamige trockene Schließfrucht
aches	?:Schmerzen
achier	?:schmerzhafter
achiest	?:am schmerzhaftesten
achievable	?:erreichbar
achieve	?:Erfolg haben
achieved	?:erreicht
achievement	?:Erreichen
achievement-oriented	?:leistungsorientiert
achievements	?:bedeutende Leistungen
achiever	?:Erfolgreiche
achieving	?:bewirkend
achiness	?:Schmerz
aching	?:schmerzhaft
achingly	?:schmerzhaft
achiote	?:Annattostrauch
achluophobia	?:Achluophobie
achondroplasia	?:Knorpelbildungsstörung
achondroplasty	?:Knorpelbildungsstörung
achromasia	?:Minderfärbung
achromatic	?:achromatisch
achromatically	?:achromatisch
achromatopsia	?:Achromatopsie
achy	?:schmerzhaft
acicular	?:lang und spitz
aciculate	?:lang und spitz
aciculilignosa	?:Nadelwälder
acid	?:scharf
acid-base-balance	?:Säuren-Basen-Gleichgewicht
acid-forming	?:säurebildend
acid-free	?:säurefrei
acid-proof	?:säurebeständig
acid-resistant	?:säurebeständig
acid-soluble	?:säurelöslich
acid-tongued	?:bissig
acid-washing	?:Absäuerung
acidic	?:säurehaltig
acidification	?:Versauerung
acidified	?:angesäuert
acidifier	?:Säurebildner
acidifiers	?:Säurebildner
acidifies	?:säuert
acidify	?:säuern
acidifying	?:säuernd
acidimeter	?:Säuremesser
acidised	?:gesäuert
acidising	?:säuernd
acidity	?:Säure
acidize	?:etw. säuern
acidized	?:gesäuert
