woordenboek	n:dictionary
verleren	v:to forget
kwebbelen	v:to chatter
verbijten	v:to suppress
vooruitgaan	v:to go forwards
overhoop	adv:upside down
begaafd	adj:gifted
jodendom	n:Judaism
adeldom	n:nobility
warempel	adv:somehow
hèhè	?:duh
speculeren	v:to speculate
dusver	adv:thus far
naaktslak	n:slug
heengaan	v:to go away
belangeloos	adj:without a stake
zusterpartij	n:sister party
inwerken	v:to impact
chicklit	n:chick lit
uitrekenen	v:to compute
jonker	n:a young male noble
slavenhandel	n:slave trade
slavenhandelaar	n:slave trader
kleinburgerlijk	adj:petty bourgeois
gifgas	n:poison gas
studeerkamer	n:study
wieberen	v:to go
terbeschikkingstelling	n:secondment
wereldtaal	n:world language
boekdeel	n:volume
uitprinten	v:to print
goedmaken	v:atone
brandweervrouw	n:firewoman
boordevol	adj:filled to the brim
traktatie	n:treat
ontroering	n:emotion
ahornsiroop	n:maple syrup
sussen	v:to appease
botvieren	v:to take it out on
inwonen	v:to move in
inrukken	v:to stand down
hoezeer	adv:how much
gedijen	v:to thrive
klikspaan	n:snitch
buitenboordmotor	n:outboard motor
volkstelling	n:census
anaal	adj:anal
zakelijkheid	n:event
zeewezen	n:navigation
springveer	n:spring
springveren	adj:containing springs
statuur	n:stature
gehoorzaal	n:auditory
achterban	n:base
smekende	v:plural attributive
dinsdagmorgen	n:Tuesday morning
woensdagmorgen	n:Wednesday morning
donderdagmorgen	n:Thursday morning
vrijdagmorgen	n:Friday morning
zondagmorgen	n:Sunday morning
zaterdagmorgen	n:Saturday morning
maandagochtend	n:Monday morning
dinsdagochtend	n:Tuesday morning
woensdagochtend	n:Wednesday morning
donderdagochtend	n:Thursday morning
vrijdagochtend	n:Friday morning
zaterdagochtend	n:Saturday morning
zondagochtend	n:Sunday morning
maandags	adj:Monday|adv:Monday
dinsdags	adj:Tuesday|adv:Tuesday
woensdags	adj:Wednesday|adv:Wednesday
heleboel	n:lot
fijnste	adj:plural attributive
zevenen	n:dative singular of zeven
vijven	n:dative singular of vijf
twaalven	n:dative plural of twaalf
negenen	n:dative singular of negen
eigenaardige	adj:plural attributive
schoolmeisje	n:schoolgirl
achtjarig	adj:eight-year-old
driejarig	adj:three-year-old
zesjarig	adj:six-year-old
negenjarig	adj:nine-year-old
duizendjarig	adj:one-thousand-year
donderdags	adj:Thursday|adv:Thursday
vrijdags	adj:Friday|adv:Friday
zaterdags	adv:on Saturday
kanonnier	n:a cannoneer
tobben	v:to worry
pasja	n:pasha
kennissenkring	n:circle of acquaintances
buitenbeentje	n:outsider
rollende	v:plural attributive
stuiterbal	n:bouncy ball
kinderbijslag	n:child benefit
doorschuiven	v:to move
spijtig	adj:regrettable
zwerfvuil	n:litter
esch	n:ash tree
bagagedrager	n:roof rack
multimiljonair	n:multimillionaire
hypothecair	adj:hypothecary
woekerpolis	n:an exploitative
waterverplaatsing	n:water displacement
roef	n:cabin
zonnedek	n:sundeck
aanvatten	v:to hold
reuzenpanda	n:giant panda
kazemat	n:casemate
woordgrap	n:pun
gastenboek	n:guest book
dodenboek	n:book of the dead
rete-	?:very
solliciteren	v:to ask
remweg	n:braking distance
kettingbrief	n:chain letter
kettingroker	n:chain smoker
kettingzaag	n:chainsaw
muziekdoos	n:musical box
speeldoos	n:musical box
fuiven	v:to party
peettante	n:godmother
straatnaam	n:street name
principaal	n:superior|adj:principal
veroveraar	n:conqueror
verklaarbaar	adj:explicable
verschoning	n:pardon
terechtwijzen	v:to reprimand
misgaan	v:to go wrong
overhouden	v:to leave over
moei	n:aunt|v:imperative
standerdmolen	n:a post mill
druiventros	n:cluster of grapes
geitenmelk	n:goat milk
sojamelk	n:soy milk
kousenband	n:garter
bottelarij	n:a wine cellar
taboe	n:taboo|adj:taboo
kerkdeur	n:church door
lamantijn	n:manatee
composthoop	n:compost heap
zandstorm	n:sandstorm
zandverstuiving	n:a sand drift
zandpad	n:sandy dirt track
zandweg	n:sandy dirt road
zandstenen	adj:sandstone
veldleeuwerik	n:Eurasian skylark
zandvlakte	n:sand plain
landbouwgif	n:agricultural pesticide
mierennest	n:ant nest
uitbater	n:manager
deling	n:a division
inspelen	v:to react to
zelfbeeld	n:self-image
landinwaarts	adj:inland|adv:inland
plevier	n:plover
markermeer	n:a lake in the Netherlands
ijsselmeer	n:a lake in the Netherlands
onbevrucht	adj:unfertilised
bevruchten	v:to fertilize
laatbloeier	n:late bloomer
icarusblauwtje	n:common blue
koudbloedig	adj:cold-blooded
koudbloedige	n:ectothermic animal|adj:plural attributive
immunoloog	n:immunologist
maliënkolder	n:mail
steenarend	n:golden eagle
diversiteit	n:diversity
onderzoeksstation	n:research station
spoortunnel	n:railway tunnel
boomschors	n:tree bark
handvuurwapen	n:handgun
appelbloesem	n:apple blossom
zoetwatermeer	n:freshwater lake
tapuit	n:northern wheatear
onderzoeksmethode	n:research method
tongen	v:to French kiss
stadsgezicht	n:city view
belfort	n:belfry
grafkamer	n:burial chamber
voorn	n:a roach
drijfijs	n:floating ice
hopman	n:a male captain
energiek	adj:energetic
asteroïde	n:asteroid
gezichtsbeharing	n:facial hair
celmaat	n:cell mate
lakmoesproef	n:litmus test
superster	n:superstar
hartfalen	n:heart attack
buikdanseres	n:female belly dancer
universiteitsstad	n:university town
kreek	n:a hamlet in Moerdijk
persijn	n:a surname
sels	n:a surname
keijzer	n:a surname
uden	n:a surname
raes	n:a surname
rens	n:a surname
smets	n:a surname
nijman	n:a surname
moonen	n:a surname
manders	n:a surname
nijs	n:a surname
nijssen	n:a surname
nijdam	n:a surname
weijers	n:a surname
wagenaar	n:a surname
wauters	n:a surname
wesseling	n:a surname
zijm	n:a surname
zondervan	n:a surname
zonneveld	n:a surname
zandberg	n:a hamlet in Buren
zegers	n:a surname
zwiers	n:a surname
opblijven	v:to stay up
heidendom	n:paganism
ouderenzorg	n:eldercare
leerstoornis	n:learning disability
inspecteren	v:to inspect
steekwagen	n:hand truck
kickboksen	v:to kickbox
kickbokser	n:a kickboxer
literatuuronderzoek	n:literature review
inspectie	n:inspection
houdgreep	n:grappling hold
tussenstop	n:stopover
satellietschotel	n:satellite dish
schotelantenne	n:satellite dish
straatmuzikant	n:street musician
grafiet	n:graphite
hockeystick	n:hockey stick
reinigingsmiddel	n:detergent
reiniging	n:cleaning
reiniger	n:detergent
boomklever	n:Eurasian nuthatch
invasie	n:military invasion
bewijsmateriaal	n:evidence
creditcard	n:credit card
elkaars	?:each other's
nakijken	v:to look back at
pispot	n:a pisspot
onbeleefd	adj:uncivil
vanwaar	adv:from where
makkie	n:breeze
klaarmaken	v:to get prepared
auditie	n:audition
jongedame	n:miss
korporaal	n:a corporal
schut	n:a dam or lock gate
topscoorder	n:top scorer
harlekijn	n:harlequin
mieters	adj:great|?:wow
sodemieter	n:sodomite
scheepsbouwer	n:shipbuilder
zwijggeld	n:hush money
bomvol	adj:completely full
propvol	adj:completely full
bloedlink	adj:hazardous
doodbloeden	v:to peter out
kroniekschrijver	n:chronicler
gentiaan	n:a gentian
nachtzwaluw	n:Eurasian nightjar
sprinkhanenplaag	n:locust plague
voorlader	n:muzzleloader
onvindbaar	adj:impossible to find
griepvirus	n:influenza virus
linssen	n:a surname
lenssen	n:a surname
roels	n:a surname
rojer	n:a surname
luyten	n:a surname
zonneklaar	adj:evident
kotsmisselijk	adj:very nauseous
strontvlieg	n:yellow dungfly
torenhoog	adj:very high
poeslief	adj:very friendly
pissig	adj:pissed
wittebrood	n:white bread
tarwebrood	n:wheat bread
intriest	adj:extremely sad
heggenmus	n:dunnock
prikkeldraad	n:barbed wire
ontdoen	v:to undo
gagel	n:gale
grasland	n:grassland
dekker	n:a surname
janssens	n:a surname
konijnenberg	n:a surname
meijer	n:a surname
briefen	v:to brief
nepperd	n:someone or something fake
lijnbus	n:public transport bus
altena	n:Altena
appelmans	n:a surname
aarts	n:a surname
aerts	n:a surname
buijs	n:a surname
devos	n:a surname
feijen	n:a surname
franssen	n:a surname
reynders	n:a surname
reybrouck	n:a surname
roelvink	n:a surname
valkenburg	n:a surname
vaessen	n:a surname
voskamp	n:a surname
wuyts	n:a surname
wouters	n:a surname
witteveen	n:a surname
verweij	n:a surname
vervoort	n:a surname
vermeij	n:a surname
versluis	n:a surname
verstegen	n:a surname
verstraete	n:a surname
vinck	n:a surname
vermeersch	n:a surname
verkade	n:a surname
verkerk	n:a surname
verlinden	n:a surname
vermeiren	n:a surname
verschuur	n:a surname
verschuren	n:a surname
verschueren	n:a surname
verschoor	n:a surname
zweerts	n:a surname
zeldenrust	n:a surname
wijnants	n:a surname
westerhof	n:a surname
wiegers	n:a surname
willink	n:a surname
warmerdam	n:a surname
winsemius	n:a surname
storms	n:a surname
stolk	n:a surname
kant-en-klaar	adj:ready-made
onvermogen	n:incapacity
kentering	n:change
gezegende	v:the past participle of zegenen
eerbiedigen	v:to respect
eethuis	n:a diner
werkgebied	n:working area
vorstenhuis	n:dynasty
vloedlijn	n:high-water line
marien	adj:marine
vrijwilligerswerk	n:volunteering work
bovengrens	n:upper limit
ondergrens	n:lower limit
marxist-leninist	n:Marxist-Leninist
hachelijk	adj:precarious
knuffeldier	n:animal doll
knuffelbeest	n:animal doll
huursoldaat	n:mercenary
afscheidsdiner	n:farewell dinner
tuinstad	n:a garden city
grootzeil	n:mainsail
hanzestad	n:Hanseatic city
wurggreep	n:stranglehold
staatsbegrafenis	n:state funeral
krachtmeting	n:contest of strength
koesteren	v:to warm
haarspray	n:hair spray
tahoe	n:tofu
tofoe	n:tofu
bladgroente	n:leaf vegetable(s)
stamboek	n:ancestry book
diëtist	n:dietitian
hogesnelheidstrein	n:high-speed train
neuzen	v:to browse
bevelvoerder	n:commander
medeschuldig	adj:complicit
wijting	n:whiting
periscoop	n:periscope
dassenburcht	n:badger burrow
hondenras	n:dog breed
lijvig	adj:corpulent
frontlinie	n:frontline
brugwachter	n:bridge keeper
onderzoekster	n:female researcher
kruisbes	n:The berry of this plant
graancirkel	n:crop circle
wereldeconomie	n:world economy
triljoen	n:quintillion
binnenscheepvaart	n:inland navigation
armenhuis	n:poorhouse
inmaken	v:to conserve
schuldenlast	n:debt burden
zelfstudie	n:self-study
heelhuids	adj:unscathed|adv:unharmed
dansfeest	n:party involving dance
normaliseren	v:to normalize
pikdonker	adj:pitch-dark
overnieuw	adv:again
achtereenvolgend	adj:consecutive
regentijd	n:rainy season
moede	n:dative singular of moed|adj:plural attributive
knaak	n:a 2½ guilders coin
saucijzenbroodje	n:a sausage roll
fantasievol	adj:imaginative
snijwerk	n:a carved object
industriestad	n:industrial city
catechisatie	n:catechesis
ceremonieel	n:ceremonial practices|adj:ceremonial
handelspartner	n:trading partner
tramweg	n:tramway
veldhospitaal	n:a field hospital
lering	n:education
kurkdroog	adj:bone-dry
gortdroog	adj:bone-dry
staatsschuld	n:national debt
roeper	n:one who calls
veroorzaker	n:one who causes
nemer	n:one who takes
klierkoorts	n:glandular fever
buidelrat	n:opossum
strot	n:throat
kloek	adj:large
vaatwerk	n:crockery
fabrieksarbeider	n:factory worker
feestweek	n:festival week
brandmerk	n:brand
mietje	n:male homosexual
vliegangst	n:fear of flying
spasticiteit	n:spasticity
fabrieksteam	n:factory-backed team
teamgeest	n:team spirit
herstellingsoord	n:sanatorium
herstelling	n:medical recovery
reparatie	n:repair
warmwaterbron	n:hot spring
platentektoniek	n:plate tectonics
iberische	adj:plural attributive
oliewinning	n:oil extraction
partnerruil	n:partner exchange
uitkijktoren	n:lookout tower
tuinafval	n:garden waste
thermiek	n:thermal column
belastingfraude	n:tax fraud
strijdtoneel	n:theater of war
consternatie	n:consternation
frontaal	adj:frontal|adv:frontally
loodlijn	n:perpendicular line
kikken	v:to make any sound
eenrichtingsverkeer	n:one-way traffic
tweerichtingsverkeer	n:two-way traffic
middenberm	n:median strip
gadeslaan	v:to observe thoroughly
aansmeren	v:to palm off
hulst	n:holly
aanmaning	n:reprimand
afdracht	n:contribution
apologetiek	n:apologetics
fonetisch	adj:phonetic
klampen	v:to cling
ijsbergsla	n:iceberg lettuce
leefmilieu	n:living environment
gemeenteambtenaar	n:municipal official
banketbakker	n:patissier
amputatie	n:amputation
ontsmettingsmiddel	n:disinfectant
volkswil	n:will of the people
kernfysica	n:nuclear physics
bolhoop	n:globular cluster
vliegvissen	v:to fly-fish
zeeslak	n:marine snail or slug
dienstmaagd	n:maidservant
schoolreis	n:school excursion
apetrots	adj:very proud
oliedom	adj:extremely stupid
rivierbedding	n:riverbed
industrialisatie	n:industrialisation
stethoscoop	n:stethoscope
bouwsel	n:construction
afbouwen	v:to finish building
frikadel	n:flattened
kariboe	n:caribou
doorschieten	v:to continue shooting
meelopen	v:to accompany
bloedbaan	n:bloodstream
bewegingsapparaat	n:locomotor system
exoot	n:an exotic species
steenpuist	n:carbuncle
bloemisterij	n:flower shop
rotje	n:firecracker
cimbaal	n:cymbal
soortgenoot	n:one's peer
jachthaven	n:marina
legeraanvoerder	n:army commander
herdenkingsmunt	n:commemorative coin
muntthee	n:mint tea
zwerfafval	n:litter
habijt	n:habit
afvlakken	v:to smoothen
kleermakerij	n:the tailor's profession
vliegramp	n:aircraft disaster
boerenland	n:farmland
vliegdek	n:flight deck
boekrecensie	n:book review
broeinest	n:hotbed
bijvullen	v:to top up
kietelaar	n:tickler
bloedplasma	n:blood plasma
doener	n:agent noun of doen
poortwachter	n:gatekeeper
winterkoning	n:Eurasian wren
toevluchtsoord	n:refuge
uitmoorden	v:to exterminate
vluchtelingenkamp	n:refugee camp
weerwraak	n:retaliation
afro-amerikaan	n:Afro-American
afro-amerikaans	adj:Afro-American
stokbrood	n:baguette
gewetensbezwaarde	n:conscientious objector|adj:plural attributive
gedienstig	adj:helpful
plezierjacht	n:luxurious yacht
lijkrede	n:eulogy
stoomwals	n:steamroller
zeelandia	n:a village in Guyana
woningbrand	n:residential fire
speelhuis	n:casino
belangenverstrengeling	n:conflict of interest
broekie	n:a rookie
heul	n:a floodgate with a bridge
hoerenzoon	n:whoreson
aartje	n:spikelet
nevenfunctie	n:secondary job
verstrengeling	n:entanglement
kwantum	n:quantum
raszuiver	adj:purebred
zuurdesem	n:sourdough
eendaags	adj:one-day
kadaster	n:cadastre
sterkedrank	n:liquor
inzinking	n:breakdown
eiser	n:plaintiff
verweerder	n:defendant
doorslikken	v:to swallow
imponeren	v:to impress
afzeiken	v:to criticise harshly
stukgaan	v:to break down
kapotgaan	v:to break down
middenin	adv:in the middle
bijklussen	v:to moonlight
zelfvoldaan	adj:self-satisfied
uitdiepen	v:to deepen
diepen	v:to deepen
naastenliefde	n:altruism
draagdoek	n:sling
notitie	n:note
ingen	n:Ingen
loon-prijsspiraal	n:wage-price spiral
staaltje	n:example
aanblazen	v:to inspire
duimstok	n:foldable meter stick
onderricht	n:education
godslasterlijk	adj:blasphemous
plaatstaal	n:sheet steel
pinksterbloem	n:cuckooflower
klaarspelen	v:to manage to get done
zwik	n:wooden pin
zwikken	v:to last a shoe
waterweg	n:waterway
wingerd	n:synonym of wilde wingerd
reukloos	adj:emitting no smell
oorlogsveteraan	n:war veteran
heksenkring	n:fairy ring
sjamaan	n:shaman
gidsland	n:exemplary country
vaderlandsliefde	n:patriotism
verbeelden	v:to imagine
ruimschoots	adj:ample|adv:amply
aantocht	n:approach
goudstuk	n:gold coin
boekhouder	n:bookkeeper
reukorgaan	n:olfactory organ
leerstuk	n:doctrine
kookkunst	n:culinary art
leerlooier	n:tanner
leerlooierij	n:tanning
sardis	n:sard
sarren	v:to tease
toonaard	n:mode
verzen	n:heel
terugtraprem	n:coaster brake
stacaravan	n:mobile home
loting	n:lottery
opgooien	v:to throw upwards
inhoudsmaat	n:unit of volume
goudsbloem	n:marigold
handwerken	v:to handwork
handwerk	n:handiwork
bochtig	adj:winding
zienswijze	n:point of view
wrs	adv:probably
gevest	n:hilt
welnee	?:of course not
ingeval	?:if
meetlint	n:tape measure
glasplaat	n:glass pane
dichterlijk	adj:poetic
dierenwelzijn	n:animal welfare
vetarm	adj:having a low fat content
zomereik	n:pedunculate oak
kraakhelder	adj:limpid
levensvatbaarheid	n:viability
mensenrecht	n:human right
voetzool	n:sole of the foot
zee-engte	n:narrow strait or channel
aanrader	n:recommendation
godsbewijs	n:proof of God
ardennen	n:Ardennes (forest
mensenrechtenactivist	n:human rights activist
vakterm	n:technical term
kwekerij	n:a nursery where: (Belgium
koprol	n:roll
rokerij	n:smokery
roelof	n:a male given name
roeland	n:a male given name
onzichtbaarheid	n:invisibility
soortelijk	adj:specific
boekjaar	n:financial year
nachtwacht	n:night guard
vrijplaats	n:refuge
wereldkaart	n:world map
verkeersknooppunt	n:interchange
giller	n:something hilarious
sjalot	n:shallot
strandjutter	n:beachcomber
afrikaanse	adj:plural attributive
aangrenzend	v:adjacent
bewandelen	v:to walk on
voedingsmiddel	n:food item
aanvliegen	v:to approach
deeleconomie	n:sharing economy
bezeilen	v:to reach by sailing
belust	adj:eager
beschermheer	n:male patron
werkdruk	n:workload
geheimtaal	n:a cant
blijmoedig	adj:upbeat
leefgebied	n:habitat
beschieting	n:a shooting
negerin	n:black woman
kruidenboter	n:herb butter
knoflooksaus	n:garlic sauce
vissaus	n:fish sauce
beeldvorming	n:framing
dekbedovertrek	n:duvet cover
gasfles	n:gas cylinder
aanspannen	v:to launch
zwijmelen	v:to swoon
bestrooien	v:to bestrew
wijkverpleegkundige	n:district nurse
verpleegkunde	n:nursing
verpleegkundig	adj:pertaining to nursing
buikloop	n:diarrhoea
koelcel	n:a refrigerated room
christin	n:female Christian
sluitertijd	n:shutter speed
brem	n:broom
luchtafweer	n:antiair defence
darmflora	n:intestinal flora
spaarbank	n:savings bank
coloriet	n:palette
daarginds	adv:over there
autobom	n:car bomb
dukaat	n:ducat (gold coin)
traktaat	n:treatise
inwisselen	v:to exchange (something)
zowaar	adv:even
acrobaat	n:acrobat
dictaat	n:diktat
fosfaat	n:phosphate
fosforzuur	n:phosphoric acid
agaat	n:agate
aanwerven	v:to recruit
besproeien	v:to spray onto
operagebouw	n:opera building
afgodendienst	n:idolatry
tussenstap	n:intermediate step
dierenvriend	n:animal lover
kransslagader	n:coronary artery
binnenmuur	n:interior wall
bevindelijk	adj:experiential
bevragen	v:to ask questions of
vlie	n:the Vlie
ruwaard	n:a governor
rafelen	v:to fray
gastronomisch	adj:gastronomic
wasserette	n:launderette
onderkoeling	n:hypothermia
kerkgenootschap	n:religious denomination
zaalkerk	n:a rectangular
erfzonde	n:original sin
dorpskerk	n:village church
koorddanser	n:tightrope walker
kerkklok	n:church bell
kerkhistoricus	n:church historian
kerkorgel	n:church organ
thuisgevoel	n:sense of being home
toekomstgericht	adj:future-oriented
klaarzetten	v:to set up
braadworst	n:bratwurst
stoïcijns	adj:stoic
komijn	n:cumin
algerijn	n:Algerian
kristallijn	n:crystal|adj:crystalline
boterhamworst	n:Bologna sausage
adempauze	n:a breathing space
inrijden	v:to run in
anticonceptie	n:contraception
anticonceptiepil	n:contraceptive pill
lachgas	n:laughing gas
slaappil	n:sleeping pill
voorradig	adj:in stock
serpentijn	n:serpentine
facebooken	v:to Facebook
intramusculair	adj:intramuscular
preekstoel	n:pulpit
steranijs	n:star anise
afromen	v:to skim
krentenbol	n:currant bun
dichtgaan	v:to close
klatergoud	n:something worthless
voetveer	n:pedestrian ferry
veerdienst	n:ferry service
stoomtram	n:steam tram
opstal	n:edifice
gaarkeuken	n:food kitchen
rariteitenkabinet	n:cabinet of curiosities
vledder	n:a surname
stopwoord	n:filled pause
ontginning	n:excavation of mines
uitzwaaien	v:to swing outward
machtsstrijd	n:power struggle
afschot	n:a slope
springtij	n:spring tide
zilvervloot	n:silver fleet
schuimrubber	n:foam rubber
binnenwater	n:inland water
scheurbuik	n:scurvy
elektromagneet	n:electromagnet
plaatsvervangende	adj:plural attributive
kerstmarkt	n:Christmas market
kerstspel	n:Nativity play
weekeind	n:weekend
wespennest	n:a wasps' nest
pendelbus	n:shuttle bus
ochtendhumeur	n:a bad mood in the morning
hormoonhuishouding	n:hormonal system
simpelweg	adv:simply
spoelbak	n:sink
specerij-eilanden	n:the Moluccas
misantroop	n:misanthrope|adj:misanthropic
biddag	n:day of prayer
zakenvrouw	n:a businesswoman
hoofdman	n:chief
ijskoningin	n:ice queen
pechstrook	n:hard shoulder
durfkapitaal	n:venture capital
klaroen	n:clarion
lelijke	adj:plural attributive
sneijder	n:a surname
hazenpad	n:a hare's trail
vermiljoen	n:vermilion|adj:vermilion
loonschaal	n:pay grade
loonslaaf	n:wage slave
koninginnenpage	n:swallowtail
handwas	n:washing by hand
theeservies	n:tea service
schrikkeldag	n:leap day
veelpleger	n:habitual offender
ongeduld	n:impatience
kannibalisme	n:cannibalism
monogaam	adj:monogamous
bestandsformaat	n:file format
deactiveren	v:to deactivate
opstoot	n:uproar
slaolie	n:salad oil
graftombe	n:tomb
vuurvlinder	n:a copper
ijsthee	n:iced tea
smeerkaas	n:cheese spread
knaller	n:something excellent
kristallijne	adj:plural attributive
kwakkelen	v:to be in a poor condition
zeggenschap	n:seat at the table
verblijfsvergunning	n:residence permit
plastiek	n:plastic
klever	n:tailgater
bumperkleven	v:to tailgate
bumpersticker	n:bumper sticker
windstilte	n:calm
windstil	adj:calm
stilvallen	v:to come to a standstill
lastigvallen	v:to bother
volleyballen	v:to play volleyball
oersterk	adj:extremely strong
orakelen	v:to pontificate
operahuis	n:opera building
biodanza	n:Biodanza
allesbehalve	adv:not at all
plasma-tv	n:plasma TV
parelduiker	n:a pearl diver
regendans	n:rain dance
megafoon	n:megaphone
kantine	n:mess hall
rariteit	n:curiosity
samenscholing	n:an assembly
lichtstraal	n:ray of light
medespeler	n:partner in a sports team
werkneemster	n:a female employee
werkgeefster	n:a female employer
tandeloos	adj:toothless
vlaktaks	n:flat tax
wonderdoener	n:miracle maker
voortuin	n:front yard
seksspeeltje	n:sex toy
hondenslee	n:dog sled
meanderen	v:to meander
musiceren	v:to make music
kaketoe	n:cockatoo
luchtweerstand	n:air resistance
waterland	n:a region in North Holland
waterpomp	n:water pump
slaper	n:a sleeper
zemelen	v:to whine
roerende	v:plural attributive
foreest	n:forest
waterbuffel	n:water buffalo
spoorslags	adv:rapidly
sluikreclame	n:surreptitious advertising
oogpotlood	n:eyeliner pencil
vitriool	n:vitriol
onruststoker	n:agitator
twijfelaar	n:a doubter
moederkoek	n:placenta
nageboorte	n:afterbirth
krols	adj:on heat
potentie	n:potency
dwarsliggen	v:to hamper
kattenvoer	n:cat food
raadsheer	n:a male councillor
roerbakken	v:to stir-fry
mannelijke	adj:plural attributive
bantoe	n:Bantu|adj:Bantu
hoortoestel	n:hearing aid
ringleiding	n:hearing loop
zilvervliesrijst	n:brown rice
jemig	?:euphemistic form of Jezus
klassieker	n:a classic
bekvechten	v:to bicker
vermogensbeheer	n:asset management
abuis	n:an error|adj:mistaken
cultfilm	n:cult film
cultuurbarbaar	n:Philistine
boottocht	n:boat trip
steenslag	n:crushed stone
tweepersoonsbed	n:double size bed
tegenpartij	n:opposing team
auteursrecht	n:copyright
boomgrens	n:tree line
meiboom	n:maypole
badhuis	n:bathhouse
biljarten	v:to play billiards
biljartbal	n:billiard ball
completeren	v:to complete
hondenleven	n:a dog's life
praatje	n:small talk
bedelstaf	n:a beggar's cane
roofvis	n:predatory fish
heldhaftigheid	n:heroism
prietpraat	n:babble
wipwap	n:seesaw
werkpaard	n:a workhorse
giftigheid	n:toxicity
zonnebrand	n:sunburn
slangenkuil	n:snake pit
kuiltje	n:dimple
bierbrouwerij	n:brewery
bierbrouwer	n:brewer
biertap	n:beer tap
vermogensbelasting	n:wealth tax
bierfiets	n:a party bike
tapbier	n:draught (UK)
liefdesleven	n:love life
vertrektijd	n:time of departure
mensachtige	n:great ape|adj:indefinite plural
eersteklas	adj:first-class
sloerie	n:slut
aaneenschakeling	n:a concatenation
hoihoi	?:synonym of hoi
aantrekkelijkheid	n:attractiveness
neusaap	n:proboscis monkey
aardrijkskundig	adj:geographical
abortuskliniek	n:abortion clinic
abonnee	n:subscriber
accuratesse	n:accuracy
wereldburger	n:cosmopolite
adoptie	n:adoption
acrylverf	n:acrylic paint
fietshelm	n:bicycle helmet
adriatische	adj:plural attributive
afgrijzen	n:revulsion|v:to have an aversion for
buslijn	n:bus route
naamkunde	n:onomastics
zoeven	v:to zoom
onherkenbaar	adj:unrecognizable
esdoornsiroop	n:maple syrup
appartementencomplex	n:apartment complex
rakelings	adv:dangerously close
alcoholisch	adj:alcoholic
agressiviteit	n:aggressiveness
bijblijven	v:to keep up
ziekenfonds	n:health fund
ziektebeeld	n:syndrome
geestesziekte	n:mental illness
spaanplaat	n:chipboard
dodenmasker	n:death mask
soortenrijkdom	n:biodiversity
kweekschool	n:a school where enrollees
calvinist	n:Calvinist
mopshond	n:pug
staten-generaal	n:States General
zeister	n:someone from Zeist|adj:of
amandelspijs	n:almond paste
amfibisch	adj:amphibian
bergweide	n:mountain pasture
lauwe	adj:plural attributive
antilliaans	adj:Antillean
sjah	n:shah
vastzetten	v:to fix
alcoholmisbruik	n:alcohol abuse
astrologisch	adj:astrological
attentie	n:attention
sluipmoordenaar	n:assassin
halfwaardetijd	n:half-life
halveringstijd	n:half-life
avondschemer	n:dusk
avondjurk	n:evening gown
axiaal	adj:axial
azteeks	n:Nahuatl|adj:Aztec
halveren	v:to halve
autokerkhof	n:car graveyard
bn'er	n:a Dutch celebrity
attestatie	n:attestation
vandaal	n:vandal
aalsmeer	n:Aalsmeer
alblasserdam	n:Alblasserdam
albrandswaard	n:Albrandswaard
alkmaar	n:Alkmaar
almelo	n:Almelo
alphen	n:a village in Alphen-Chaam
alphen-chaam	n:Alphen-Chaam
sloddervos	n:a messy
regenwater	n:rainwater
verkeersplein	n:a roundabout
slechtvalk	n:peregrine falcon
rondpunt	n:roundabout
zelfmedicatie	n:self-medication
uitvreten	v:to be up to
uitspoken	v:to be up to
badeend	n:rubber duck
zakhorloge	n:pocket watch
horlogemaker	n:watchmaker
haam	n:horsecollar
gareel	n:horsecollar
balverlies	n:loss of possession
tennisbal	n:tennis ball
baleinen	adj:baleen
asen	n:Æsir
auspiciën	n:watch
autogordel	n:seat belt in a car
eenarmige	adj:plural attributive
bandrecorder	n:tape recorder
doopsgezinde	n:Mennonite
guus	n:a male given name
kepie	n:kepi
persoonsvorm	n:finite verb
basgitaar	n:bass guitar
basgitarist	n:bass guitarist
vietnamoorlog	n:Vietnam War
koreaan	n:Korean
kunstlicht	n:artificial light
massasprint	n:bunch sprint
kraanwater	n:tap water
leidingwater	n:tap water
geldkraan	n:money tap
suppoost	n:museum guard
lelijkheid	n:ugliness
symboliek	n:symbolism|adj:symbolic
badmuts	n:bathing cap
mutsje	n:an archaic liquid measure
theemuts	n:tea cosy
bowlen	v:to bowl
harpij	n:harpy
minderwaardigheid	n:inferiority
minderwaardigheidscomplex	n:inferiority complex
aanfluiting	n:disgrace
bijland	n:territory
aardigheid	n:friendliness
inferieur	adj:inferior
geheimschrift	n:a cipher
congreszaal	n:conference hall
slaapzaal	n:dormitory
steenkoud	adj:ice-cold
afknippen	v:to cut off
opschonen	v:to cleanse
bijzettafel	n:occasional table
behangpapier	n:wallpaper
beiaardier	n:carillonist
beïnvloeding	n:influencing
bejaardentehuis	n:retirement home
beknoptheid	n:conciseness
belangrijkheid	n:importance
belegging	n:investment
overwinteren	v:to overwinter
duikschool	n:diving school
overlijdensakte	n:death certificate
roofkunst	n:stolen art
bengaals	adj:Bengal
benedictijn	n:Benedictine
bemiddelaar	n:a mediator
bergop	adv:uphill
wiegelied	n:a lullaby
geilheid	n:horniness
onbeschaamd	adj:shameless
beroving	n:robbery
klikbaar	adj:clickable
lapmiddel	n:improvised fix
redmiddel	n:a means of rescuing
betaalmiddel	n:a tender
tijdverdrijf	n:pastime
