woordenboek	n:dictionary
vegan	n:vegan|adj:vegan
smegma	n:smegma
harp	n:harp
splinter	n:splinter
protagonist	n:protagonist
tagalog	n:Tagalog
privacy	n:privacy
ons	n:metric ounce|?:us
bang	n:a sharp|adj:scared
mate	n:measure
belt	n:a heap|v:plural imperative
bitch	n:bitch
rust	n:rest|v:imperative
transcendent	adj:transcendental
algebra	n:algebra
mies	adj:mean
mail	v:imperative
bagel	n:bagel
torus	n:torus
parachute	n:parachute
acetyleen	n:acetylene
punch	n:punch
whiteboard	n:whiteboard
constant	adj:constant
matrix	n:matrix
vector	n:vector
algiers	n:Algiers
bali	n:Bali
bangkok	n:Bangkok
barcelona	n:Barcelona
dublin	n:Dublin
edinburgh	n:Edinburgh
florida	n:Florida
plastic	n:plastic|adj:plastic
bar	n:a bar|adj:harsh|adv:extremely
acute	adj:plural attributive
union	n:a trade union
zoo	n:zoo
java	n:Java
nice	adj:nice
oslo	n:Oslo
lagen	v:plural past indicative
legen	v:to empty
import	n:geographical import
rome	n:Rome (a major city
johannesburg	n:Johannesburg
cola	n:cola
feta	n:feta
skin	n:skin
pat	n:tie
tap	n:tap
tarragona	n:Tarragona
tunis	n:Tunis
zanzibar	n:Zanzibar
zurich	n:Zurich
zagreb	n:Zagreb
koper	n:copper|v:imperative
gerard	n:a male given name
alchemist	n:alchemist
popcorn	n:popcorn
sandwich	n:sandwich
sigma	n:sigma
tau	n:tau
phi	n:phi
chi	n:chi
psi	n:psi
nihil	?:nothing
vent	n:chap|v:imperative
fan	n:fan
papier	n:a piece of paper
papyrus	n:the papyrus plant
serpent	n:snake
element	n:element
botanist	n:botanist
pianist	n:pianist
hockey	n:hockey
nepalese	n:Nepali|adj:plural attributive
telugu	n:Telugu
wat	adv:a bit|?:some
hamburger	n:hamburger
affect	n:affect
enkel	n:ankle|adj:single|adv:exclusively
candela	n:candela
ampère	n:ampere
kilogram	n:kilogram
coulomb	n:coulomb
farad	n:farad
joule	n:joule
ohm	n:ohm
siemens	n:siemens
goal	n:goal
score	n:score
brood	n:bread
pauper	n:pauper
volt	n:volt
watt	n:watt
swahili	n:Swahili
drone	n:drone
kim	n:horizon
atto-	?:atto-
centi-	?:centi-
deca-	?:deca-
deci-	?:deci-
exa-	?:exa-
giga-	?:giga-
hecto-	?:hecto-
milli-	?:milli-
nano-	?:nano-
peta-	?:peta-
tera-	?:tera-
yocto-	?:yocto-
yotta-	?:yotta-
zepto-	?:zepto-
zetta-	?:zetta-
bont	n:fur|adj:motley
vloeien	v:to flow
flux	n:flux
spam	n:spam|v:imperative
breit	v:plural imperative
-ist	?:appended to a word
hype	n:hype|v:imperative
banjo	n:banjo
jan	n:a male given name
nederlands	n:Dutch|adj:of the Netherlands
gym	n:gym
check	n:check|v:imperative
judo	n:judo
prototype	n:prototype
cheque	n:check
brabant	n:Brabant
limburg	n:Limburg
namen	n:Namur|v:plural past indicative
bergen	n:Mons|v:to store
club	n:nightclub
infinitief	n:infinitive
los	n:synonym of lynx|v:imperative|adj:loose
sarajevo	n:Sarajevo
sofia	n:Sofia
ach	?:oh
oto	n:educate, train, & exercise
occult	adj:occult
collage	n:collage
allah	n:Allah
panda	n:panda
sick	adj:sick
land	n:land|v:imperative
holland	n:Holland
lip	n:lip
cent	n:cent
gazelle	n:gazelle
flamingo	n:a flamingo
hyena	n:hyena
flag	n:flag
cobra	n:Indian cobra
brioche	n:brioche
atlas	n:atlas
zeus	n:Zeus
fair	n:a fair|adj:fair
festival	n:a festival
type	n:type: a class
steel	n:stem|v:imperative
plan	n:a set of intended actions|v:imperative
drama	n:drama
proper	adj:clean
front	n:front
code	n:book or body of laws
management	n:management
video	n:video
transport	n:transport
farm	v:imperative
scanner	n:scanner
request	n:request
producer	n:producer
propaganda	n:propaganda
offer	n:sacrifice|v:imperative
waste	v:singular past indicative
research	n:research
dons	n:down
dis	n:laid table
happen	v:to take a bite
heir	n:army
je	?:(“you (singular)”)
stalk	v:imperative
hond	n:dog
hamer	n:hammer|v:imperative
service	n:service
cruise	n:cruise
valletta	n:Valletta
spitsbergen	n:Svalbard (an archipelago
glad	adj:smooth|adv:completely
wort	n:wort
yam	n:yam
dans	n:dance|v:imperative
roman	n:a novel
duits	n:German language|adj:German
drenthe	n:Drenthe
flevoland	n:Flevoland
friesland	n:Friesland
souvenir	n:souvenir
magazine	n:magazine
mug	n:a mosquito
westen	n:the West
zenit	n:zenith
sein	n:signal|v:imperative
prestige	n:prestige
staat	n:state|v:plural imperative
slip	n:a pair of briefs|v:imperative
baden	v:to shower
arrogante	adj:plural attributive
