a	?:een
interchange	?:wisselen
interest	?:belang
interested	?:geïnteresseerd
interesting	?:interessant
interface	?:interface
interference	?:storing
interior	?:inwendige
interjection	?:tussenwerpsel
interment	?:teraardebestelling
intermission	?:rust
intermittent	?:intermitterend
internal	?:intern
international	?:internationaal
interpret	?:uitleggen
interpretation	?:interpretatie
interpreter	?:tolk
interpunction	?:interpunctie
interrogate	?:verhoren
interrupt	?:onderbreken
interruption	?:schorsing
interval	?:interval
intervene	?:tussenbeide komen
interview	?:interview
intestine	?:darm
intestines	?:ingewanden
intimate	?:gezellig
intimidation	?:bangmakerĳ
into	?:in
intolerant	?:onverdraagzaam
intone	?:inzetten
intoxicate	?:bedwelmen
intoxicated	?:zat
intractable	?:balsturig
intrepid	?:stout
intrigue	?:intrigeren
introduce	?:spelen
introduction	?:introductie
intrude	?:zich teveel bemoeien met
invade	?:binnenvallen
invasion	?:invasie
invective	?:scheldwoord
invent	?:komen achter
invention	?:uitvinding
inventor	?:uitvinder
inventory	?:inventaris
invest	?:investeren
investigate	?:onderzoeken
investigation	?:onderzoek
investment	?:investering
investor	?:investeerder
invincible	?:onoverwinnelĳk
invitation	?:uitnodiging
invite	?:vragen
invoice	?:rekening
invoke	?:oproepen
inwards	?:naar binnen
iodine	?:jodium
iota	?:jota
iridium	?:iridium
iris	?:iris
iron	?:bout
ironic	?:ironisch
ironwork	?:beslag
irony	?:ironie
irradiate	?:bestralen
irradiation	?:bestraling
irresistible	?:onweerstaanbaar
irresolute	?:besluiteloos
irresolution	?:besluiteloosheid
irrigate	?:wateren
irritating	?:irritant
island	?:eiland
isolate	?:isoleren
isolated	?:geïsoleerd
isolation	?:isolement
issue	?:uitgeven
it	?:het
itch	?:jeuk
item	?:deel
its	?:haar
itself	?:zelf
ivory	?:ivoor
ivy	?:klimop
jack	?:krik
jackal	?:jakhals
jacket	?:jasje
jade	?:jade
jaguaro	?:jaguar
jail	?:gevangen zetten
jam	?:jam
jargon	?:jargon
javelin	?:speer
jaw	?:kaak
jawbone	?:kaak
jaws	?:opening
jay	?:gaai
jealous	?:jaloers
jealousy	?:jaloezie
jeer	?:beschimpen
jerk	?:rukken
jest	?:gekscheren
jester	?:clown
jewel	?:juweel
jeweller	?:juwelier
jingle	?:rinkelen
job	?:werk
jocular	?:snaaks
jog	?:joggen
join	?:verbinden
joining	?:vereniging
joint	?:lid
joke	?:bak
jolt	?:schokken
jot	?:jota
journal	?:krant
journalist	?:journalist
journey	?:reis
joy	?:vreugde
joyful	?:verblĳdend
joystick	?:stuur
jubilant	?:jubel‐
jubilation	?:gejubel
jubilee	?:jubileum
judge	?:rechter
judgement	?:arrest
judgment	?:gericht
jug	?:zak
juggle	?:jongleren
juggler	?:jongleur
juice	?:sap
jump	?:springen
junction	?:vereniging
jungle	?:jungle
junior	?:beginnend
junto	?:troep
jurisprudence	?:recht
jurist	?:jurist
jury	?:jury
just	?:maar
justice	?:gerechtigheid
jute	?:jute
kangaroo	?:kangoeroe
kappa	?:kappa
karma	?:karma
kea	?:kea
keel	?:kiel
keen	?:druk
keep	?:redden
keepsake	?:gedenkteken
kennel	?:kennel
kerchief	?:hoofddoek
kernel	?:kern
kerosene	?:lampolie
kettle	?:ketel
key	?:sleutel
keyboard	?:toetsenbord
kibbutz	?:kibboets
kick	?:trap
kid	?:een geintje maken
kidney	?:nier
kill	?:doden
kiln	?:oven
kilo	?:kilo
kilobyte	?:kilobyte
kilometre	?:kilometer
kilt	?:Schotse rok
kimono	?:kimono
kind	?:soort
kindle	?:aanmaken
kindness	?:voorkomendheid
king	?:koning
kingdom	?:koninkrĳk
kingfisher	?:ĳsvogel
kingship	?:koningschap
kip	?:kip
kirk	?:kerk
kiss	?:kus
kitchen	?:keuken
kite	?:wouw
kitten	?:katje
klaxon	?:hoorn
knapsack	?:ransel
knapwood	?:centaurie
knead	?:kneden
knee	?:knie
kneel	?:op de knieën vallen
knife	?:mes
knight	?:paard
knit	?:breien
knob	?:knop
knock	?:slag
knot	?:knopen
know	?:weten
knowledge	?:weten
kopje	?:kopje
krypton	?:krypton
label	?:label
laboratory	?:laboratorium
laborer	?:werker
laborers	?:arbeiders
labour	?:ter wereld brengen
labourer	?:werker
labourers	?:arbeiders
lace	?:kant
lack	?:missen
lackey	?:lakei
lacquer	?:lak
lad	?:jongen
ladder	?:ladder
laddie	?:jongen
lady	?:dame
ladybug	?:lieveheersbeestje
ladylike	?:keurig
laggard	?:achterblĳver
lagoon	?:lagune
lake	?:meer
lamb	?:lam
lambda	?:labda
lame	?:kreupel
lament	?:steen en been klagen
lamp	?:lamp
lance	?:piek
land	?:land
landing	?:daling
landlady	?:waardin
landlord	?:waard
landmark	?:mĳlpaal
landscape	?:landschap
landslide	?:aardverschuiving
lane	?:steeg
language	?:taal
lanky	?:lang
lantern	?:lantaarn
lanthanum	?:lanthaan
lap	?:plassen
lapse	?:terugvallen
lapsed	?:wrak
larch	?:lariks
larder	?:provisiekast
large	?:groot
lark	?:leeuwerik
larkspur	?:ridderspoor
larva	?:larve
laryngitis	?:keelontsteking
larynx	?:strottehoofd
lass	?:meisje
lasso	?:lasso
last	?:afgelopen
lasting	?:vast
late	?:laat
lately	?:recentelĳk
later	?:later
latex	?:latex
